ID,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144,V145,V146,V147,V148,V149,V150,V151,V152,V153,V154,V155,V156,V157,V158,V159,V160,V161,V162,V163,V164,V165,V166,V167,V168,V169,V170,V171,V172,V173,V174,V175,V176,V177,V178,V179,V180,V181,V182,V183,V184,V185,V186,V187,V188,V189,V190,V191,V192,V193,V194,V195,V196,V197,V198,V199,V200,V201,V202,V203,V204
1,0.136460773,-0.004789203,-0.11105877,0.050183363,-0.004096881,-0.107362741,-0.083329485,-0.000515278,-0.071647107,-0.083511867,0.0085405,-0.071373227,-0.083993703,-0.009306502,-0.071576807,-0.099882562,0.043656905,-0.049238478,-0.099673102,-0.043335523,-0.048358982,-0.087527125,0.048649381,-0.05011803,-0.087298599,-0.049001186,-0.048895396,-0.052285185,0.09678617,-0.005386896,-0.051990103,-0.097413443,-0.005276666,0.020265666,0.06798224,-0.081483505,0.017432231,-0.064556465,-0.084168826,-0.146018067,-0.006521782,0.049693209,-0.147267443,0.006907576,0.050387915,-0.113696472,-0.021657759,0.0439136,-0.109823551,0.022697521,0.043465481,-0.117316858,-0.058524356,-0.002437123,-0.115380794,0.060480639,-0.003817173,-0.078599048,-0.069663525,0.011905709,-0.075859022,0.071996338,0.011069049,-0.07270251,-0.035045547,0.035502193,-0.071162023,0.035712516,0.035546478,-0.041551395,-0.012198607,0.029926019,-0.041403211,0.011074422,0.030308671,-0.02007749,-0.016071721,0.033235814,-0.021759628,0.016031675,0.033263183,0.004930296,-0.014338804,0.035149137,0.00482056,0.012734132,0.036208525,0.006177184,-0.035559569,0.033588008,0.008367931,0.032455906,0.035987598,0.019190033,-0.03683883,0.031463276,0.018802773,0.03478646,0.033576078,0.061120602,-0.00648669,0.022667005,0.059326006,0.0078314,0.022866352,0.057685645,-0.042356701,0.027643943,0.056815072,0.039906462,0.029053355,0.048329455,-0.102179345,-0.012499534,0.048174906,0.102847279,-0.00711678,0.087254305,-0.026446467,0.035886508,0.091726868,0.02563131,0.037384788,0.095467816,-0.074434747,0.019048498,0.094468707,0.07415872,0.020723067,0.107585354,-0.013741397,0.022759047,0.108045319,0.01609731,0.023601256,0.161524318,-0.039953501,0.013669675,0.16033767,0.043934105,0.012701859,0.16508683,-0.010602636,0.023501232,0.163665259,0.011977972,0.021152814,-0.190639432,-0.024840304,0.013152481,-0.189640445,0.027819211,0.013724431,-0.077068346,-0.047898453,-0.046549436,0.033133878,-0.116738796,-0.00119067,0.051159638,-0.117090524,-7.24E-05,0.13621618,-0.095667551,-0.010864434,0.164282255,-0.089974346,-0.033056575,-0.198283089,-0.019384584,0.036843601,-0.19511637,0.022148007,0.040467059,-0.078049656,0.046775919,-0.051339612,0.033587939,0.118204827,0.004302659,0.050715038,0.11779507,0.005424534,0.133764401,0.096188668,-0.012842311,0.161025481,0.090436405,-0.035772809,0.166174646,0.001458469,0.015202507,0.101504687,0.000435684,0.009799139,0.031972812,-0.000765011,0.007215314,-0.009469579,-0.002394438,-0.006239658,-0.076405741,-0.003748725,-0.063237123
2,0.137796234,-0.000699087,-0.122658675,0.053070405,-0.005439672,-0.127494689,-0.080871992,-0.001468733,-0.06869603,-0.081574318,0.007072745,-0.06832569,-0.081911388,-0.009285801,-0.068307946,-0.098028675,0.03891137,-0.051314209,-0.09890703,-0.040214677,-0.050225625,-0.088149128,0.047186003,-0.052054515,-0.089219543,-0.049152529,-0.051665947,-0.052402484,0.107230946,-0.000716554,-0.057454397,-0.108177057,-0.006101614,0.019031355,0.07165952,-0.103053732,0.017048544,-0.06975819,-0.104250556,-0.142169695,-0.004974509,0.054773719,-0.143284255,0.009378885,0.055341275,-0.106625418,-0.022363037,0.048505907,-0.103158589,0.024792653,0.048904036,-0.111141048,-0.059600929,0.000198553,-0.110007347,0.06344348,0.001169018,-0.075140579,-0.072322389,0.014255952,-0.073123693,0.075784679,0.014319878,-0.065014137,-0.036531788,0.034617462,-0.063455417,0.037305651,0.036798165,-0.037581655,-0.012082082,0.030250778,-0.037172842,0.010831209,0.031225576,-0.015516487,-0.016788913,0.032976259,-0.016522036,0.016624252,0.033169379,0.006990258,-0.015475765,0.034866724,0.007197505,0.01333366,0.035226602,0.008387996,-0.041265381,0.033394949,0.013434169,0.037031629,0.034637793,0.017502777,-0.042759178,0.029540961,0.019692502,0.039822599,0.030010277,0.050842932,-0.008572744,0.019781627,0.049278642,0.006396002,0.019383943,0.047515151,-0.047142552,0.024292944,0.046154935,0.042268583,0.023271097,0.051049967,-0.115008982,-0.008546274,0.049757708,0.113913013,-0.00821238,0.081715813,-0.030456408,0.039531189,0.085676823,0.026251044,0.042207382,0.087877482,-0.078868905,0.02114856,0.084538339,0.076173979,0.023789707,0.101767554,-0.017954653,0.02650475,0.101054229,0.016923882,0.027463932,0.158203691,-0.045690921,0.019804406,0.154983264,0.050251123,0.022749061,0.15541669,-0.008303427,0.031950897,0.154201847,0.01502264,0.029903249,-0.182096202,-0.023906815,0.011685169,-0.18098318,0.031613984,0.014575035,-0.077459281,-0.049771661,-0.048815681,0.039430277,-0.128090246,0.002335286,0.058974978,-0.127463347,0.002445221,0.131563927,-0.106259273,-0.011672813,0.163680536,-0.098062771,-0.040350096,-0.192957549,-0.019969237,0.038575958,-0.189551009,0.028734585,0.044095607,-0.079059261,0.04666123,-0.05216565,0.033252265,0.127888264,0.005746515,0.05310443,0.128550709,0.004762361,0.126083076,0.108003695,-0.011039053,0.160482675,0.10054031,-0.038579453,0.156902515,0.004965203,0.023753272,0.093474838,-0.001888092,0.011607717,0.032052161,-0.001500099,0.002459606,-0.005584277,-0.003093717,-0.009928248,-0.073065576,-0.004203961,-0.063832323
3,0.133150932,-0.00557451,-0.116956736,0.049951739,-0.002754092,-0.109526315,-0.0798703,-2.76E-05,-0.072841901,-0.080466422,0.009104951,-0.072751528,-0.080365586,-0.008829649,-0.072735841,-0.097481127,0.043257723,-0.050881661,-0.096332604,-0.04445617,-0.050299129,-0.085253948,0.048776884,-0.051567142,-0.083596215,-0.049827184,-0.050742607,-0.055134721,0.099821939,-0.003712048,-0.054678573,-0.097725297,-0.003779007,0.014554075,0.067969627,-0.085561323,0.011586284,-0.063526513,-0.087023517,-0.145487853,-0.006190217,0.049314284,-0.146325342,0.006683358,0.049511397,-0.111456949,-0.021399773,0.044153216,-0.108246416,0.023098615,0.043042534,-0.113230664,-0.060913711,-0.000625942,-0.112799975,0.062505201,-0.003093531,-0.07756377,-0.070913525,0.013580506,-0.076150411,0.074654263,0.0126271,-0.070392806,-0.033429993,0.03618127,-0.070079916,0.034742548,0.035952992,-0.044227203,-0.009230529,0.029480394,-0.044351419,0.009773802,0.02954296,-0.021562042,-0.01387971,0.033312897,-0.023371863,0.015309224,0.032187255,0.004671207,-0.012504545,0.03679472,0.004256035,0.012564015,0.036640363,0.006708982,-0.033775171,0.035592702,0.008689981,0.032389488,0.035748442,0.018258211,-0.035034299,0.033065433,0.018609173,0.034903235,0.033119585,0.056113109,-0.005691977,0.020822988,0.055250282,0.006818194,0.020900567,0.053378036,-0.039147399,0.027001757,0.053755338,0.038416438,0.027239596,0.048263562,-0.103904804,-0.005064517,0.048821587,0.104015078,-0.004439606,0.086102558,-0.024102434,0.037088322,0.09103451,0.022388928,0.03861873,0.094033573,-0.072157105,0.01971243,0.092435777,0.071584454,0.021768306,0.109091989,-0.013904828,0.023159106,0.109302692,0.014242085,0.023821055,0.165164315,-0.041852774,0.011217598,0.163037505,0.043407921,0.013780404,0.172671033,-0.013246241,0.023789852,0.170173522,0.010516977,0.023453499,-0.189381079,-0.027549452,0.013264702,-0.188950809,0.026733276,0.014062948,-0.074592326,-0.047456088,-0.048114672,0.031769582,-0.11954195,0.002823396,0.05082955,-0.119524043,0.004472422,0.132367801,-0.09398185,-0.013348036,0.161428264,-0.088748376,-0.036911367,-0.198356424,-0.021371735,0.038431877,-0.195264596,0.021146897,0.041894864,-0.077329709,0.046486734,-0.052675601,0.031575106,0.118797639,0.008640382,0.052228201,0.118946691,0.006815041,0.130828953,0.095370298,-0.012748977,0.158096452,0.092324068,-0.034189462,0.170056072,0.000294687,0.016603587,0.10147119,0.000422665,0.008819497,0.028680236,-0.000308567,0.005288342,-0.015203573,-0.001319467,-0.009118707,-0.070892774,-0.00366633,-0.064630146
4,0.130486579,0.000868912,-0.110943194,0.051681484,-0.001894099,-0.106247342,-0.078337486,-0.000549311,-0.071200346,-0.078961918,0.008352793,-0.071209653,-0.079381281,-0.008864498,-0.070936436,-0.097663257,0.043872271,-0.049786233,-0.097502019,-0.044397128,-0.048505624,-0.085744949,0.049162421,-0.051454696,-0.084439699,-0.04987149,-0.049482815,-0.054260132,0.101203608,-0.003658383,-0.051096826,-0.09917121,-0.003356939,0.017653608,0.067930553,-0.084392884,0.013787038,-0.06171125,-0.085891941,-0.145734288,-0.006923482,0.049328339,-0.147400429,0.005603008,0.050194106,-0.111637233,-0.021110013,0.043262388,-0.11042009,0.021996568,0.043093785,-0.112322178,-0.058785128,-0.000351547,-0.112940723,0.061182004,-0.001270125,-0.075712654,-0.070080264,0.013555625,-0.076493715,0.073073299,0.012554702,-0.0694782,-0.032325461,0.035235501,-0.070842664,0.033479059,0.036401834,-0.045989492,-0.008960614,0.02932449,-0.046103027,0.00937664,0.029878488,-0.021819625,-0.013607058,0.032747815,-0.024030689,0.014874599,0.03275382,0.004621131,-0.012109393,0.036141194,0.003894106,0.013126345,0.036234786,0.005500201,-0.033250834,0.034531549,0.007016948,0.031631581,0.035717346,0.016723387,-0.03411887,0.032184059,0.016301204,0.034148934,0.03264362,0.056170046,-0.00549538,0.019535502,0.054922048,0.007220916,0.01965704,0.052630342,-0.038599338,0.026031399,0.052018368,0.037845621,0.026606467,0.047994669,-0.102481934,-0.004861128,0.047359465,0.102816677,-0.005436653,0.084380461,-0.024113148,0.034491318,0.089148099,0.021369701,0.036106361,0.092652222,-0.072909011,0.018547077,0.092586882,0.072265825,0.020126861,0.1072803,-0.013887698,0.021707793,0.107663987,0.013896788,0.022283171,0.163686708,-0.043378554,0.010306946,0.163573006,0.043218754,0.012982735,0.178229921,-0.015040592,0.023504037,0.175548356,0.010803145,0.0231344,-0.190943613,-0.026197616,0.01042954,-0.191606405,0.026121594,0.012693887,-0.075422553,-0.047523662,-0.047093855,0.03571613,-0.117109552,0.006041991,0.054023752,-0.116837536,0.005505684,0.130345793,-0.095975071,-0.01296336,0.160921553,-0.091076548,-0.035783743,-0.199277875,-0.021197791,0.037763776,-0.198644304,0.019152107,0.041523655,-0.077950088,0.046964076,-0.052926835,0.033201687,0.118579599,0.007308396,0.051951788,0.118932386,0.006164157,0.132899323,0.094745804,-0.012995842,0.162108197,0.089055419,-0.035247797,0.174281183,-0.00033445,0.016252805,0.100626739,-0.000512399,0.007840703,0.028299359,0.000792962,0.003989895,-0.014800123,-0.000233518,-0.007838964,-0.070928536,-0.003030069,-0.062482709
5,0.130431872,-0.000895096,-0.117276294,0.051091549,-0.003272091,-0.109871868,-0.079611984,-0.000833718,-0.071512231,-0.080600018,0.007723363,-0.071205186,-0.079962608,-0.008898878,-0.071536516,-0.097090459,0.043080839,-0.049560369,-0.097343039,-0.044162814,-0.049649915,-0.085081619,0.048366529,-0.050057774,-0.08428162,-0.050283099,-0.049797557,-0.049786291,0.100945146,-0.002237715,-0.051369145,-0.101178336,-0.003655303,0.014479747,0.069681064,-0.085566725,0.009875076,-0.06560567,-0.088932838,-0.1442673,-0.005816066,0.04702136,-0.145558183,0.007050836,0.04791141,-0.111648172,-0.021299791,0.042436746,-0.107738435,0.022176948,0.042196312,-0.112750386,-0.05986205,-0.002106139,-0.111358065,0.061144258,-0.002903389,-0.07609946,-0.071651629,0.014266951,-0.074195919,0.07457693,0.013742165,-0.071206644,-0.034733077,0.035790128,-0.070351317,0.033321875,0.035929559,-0.046131306,-0.010654137,0.029499726,-0.046129091,0.00824942,0.029906648,-0.02196219,-0.014728771,0.033868247,-0.02394739,0.013853502,0.033309182,0.004701731,-0.013201625,0.037442483,0.004071943,0.011701499,0.037614349,0.006128854,-0.034305051,0.036108996,0.007627548,0.03121044,0.037518665,0.018169253,-0.035213455,0.033884582,0.016598231,0.034173591,0.034401089,0.056511829,-0.00468331,0.021442755,0.055503554,0.008088217,0.021453015,0.054246977,-0.038762204,0.027277574,0.052862865,0.039632322,0.027382935,0.046042659,-0.104835549,-0.004839441,0.046655087,0.105452413,-0.004392902,0.08566605,-0.023088701,0.036408567,0.090141312,0.02154888,0.037453567,0.09339502,-0.072154499,0.01974687,0.092511938,0.073104351,0.020565896,0.107990569,-0.012712064,0.022284245,0.107630855,0.015119088,0.022757299,0.164160501,-0.042707452,0.010729731,0.16369673,0.043861282,0.012448527,0.177335539,-0.014175756,0.024337312,0.174494442,0.010636378,0.023408125,-0.188261143,-0.025284686,0.010430531,-0.188462253,0.027207585,0.013009287,-0.075327957,-0.048185831,-0.047269264,0.031731325,-0.118761458,0.004654351,0.050379337,-0.119246512,0.005319665,0.130142162,-0.095535202,-0.012405445,0.158895975,-0.091051815,-0.038965946,-0.197200582,-0.019867285,0.035921942,-0.19540996,0.02157821,0.038064462,-0.077304133,0.046154783,-0.050624375,0.031470947,0.120708029,0.006928914,0.050642498,0.121185615,0.006215604,0.131528852,0.096559552,-0.011499369,0.160295193,0.092347878,-0.03695453,0.172572993,0.000344254,0.016655075,0.099438467,0.001390358,0.008451401,0.029062529,0.001525153,0.0065478,-0.015767337,-0.001831014,-0.007467389,-0.071978005,-0.004221894,-0.062455569
6,0.131518468,-0.00144122,-0.109516414,0.047203446,-0.002528408,-0.104225362,-0.07851159,-0.001530721,-0.069995633,-0.079310934,0.006539418,-0.069941976,-0.079570564,-0.009025532,-0.069876066,-0.099609657,0.04088622,-0.048706938,-0.100552456,-0.042741265,-0.047801246,-0.086881649,0.04610442,-0.049764388,-0.087866541,-0.048459514,-0.047811886,-0.049600992,0.097768015,-0.002516415,-0.05336163,-0.098012564,-0.003933006,0.018241199,0.068219264,-0.081446287,0.013494692,-0.061485976,-0.084439226,-0.149780324,-0.005134497,0.048996169,-0.150550463,0.006604848,0.049343917,-0.114730503,-0.020048668,0.043158271,-0.110247783,0.022150806,0.042388199,-0.116131947,-0.056765972,-0.000331539,-0.114718279,0.057535715,-0.002583065,-0.078609652,-0.068445672,0.013532294,-0.07592671,0.070878855,0.012052213,-0.070965898,-0.033850302,0.034804067,-0.069379897,0.033643884,0.03523065,-0.04677936,-0.010811665,0.029759834,-0.046008984,0.009028704,0.030468934,-0.02194713,-0.01472537,0.033417983,-0.022686645,0.01402909,0.033214289,0.004585995,-0.013059441,0.036067054,0.004369518,0.011500329,0.036195999,0.005807039,-0.035527661,0.034738763,0.009150031,0.032291199,0.035401357,0.017338208,-0.036675872,0.03204447,0.018378635,0.035008126,0.032188223,0.058675682,-0.005875403,0.022223633,0.057502459,0.006950146,0.022250181,0.054951167,-0.040234691,0.025995727,0.055844324,0.039582933,0.026664992,0.048066313,-0.10174368,-0.008053116,0.050384332,0.102885538,-0.006283099,0.08676683,-0.024069221,0.035759091,0.090915782,0.022291788,0.036784224,0.095088496,-0.071178694,0.01611588,0.093800224,0.070917716,0.018497826,0.108337849,-0.01406723,0.023084405,0.108071246,0.015821949,0.023546927,0.163816482,-0.040956479,0.012065528,0.162775846,0.044636923,0.012691973,0.174145605,-0.014941659,0.025245011,0.170868857,0.013192302,0.023919852,-0.1911728,-0.025033188,0.010161167,-0.191729213,0.025955115,0.010901195,-0.078698543,-0.046380837,-0.045804013,0.035313314,-0.116591465,0.002130019,0.053575406,-0.115478041,0.003489806,0.131374737,-0.092729686,-0.014913496,0.162207806,-0.085155531,-0.039817986,-0.200810569,-0.019102994,0.035490419,-0.198431332,0.020675774,0.036588569,-0.078112617,0.044042688,-0.050945652,0.03705106,0.118299537,0.006080456,0.05564955,0.117026357,0.006006545,0.131293136,0.095829369,-0.015843938,0.163364201,0.088592972,-0.038894934,0.170521177,0.001260983,0.017337689,0.103362308,0.000682122,0.010127711,0.031409034,-0.000472508,0.006830796,-0.012737275,-0.00234964,-0.006909449,-0.069798517,-0.004201839,-0.062637177
7,0.127573546,-0.002836576,-0.114685503,0.041111679,-0.003183231,-0.11113995,-0.080508965,0.000324486,-0.073795001,-0.081806945,0.010815507,-0.073201704,-0.081429695,-0.010298539,-0.073445905,-0.101743133,0.043379674,-0.050240338,-0.101569375,-0.04453096,-0.048943632,-0.090847943,0.048675484,-0.050562645,-0.089853654,-0.050502512,-0.048639983,-0.056980299,0.098283767,-0.002494381,-0.060120348,-0.096737325,-0.003178798,0.013354463,0.070310507,-0.089568663,0.008030151,-0.066116078,-0.090605539,-0.141250342,-0.006122243,0.048749457,-0.142449605,0.00654922,0.049170523,-0.108096464,-0.021116823,0.043161486,-0.1072541,0.020878444,0.042138979,-0.114386767,-0.058545189,-0.000298259,-0.112478056,0.060335673,-0.001288265,-0.078500344,-0.069442201,0.013684281,-0.076910665,0.072687217,0.012209679,-0.066810681,-0.034269895,0.0344771,-0.067768987,0.03434622,0.034597466,-0.045027599,-0.010926463,0.02840788,-0.045032291,0.009000274,0.028697487,-0.018599636,-0.015180915,0.03247991,-0.02047361,0.013888325,0.031702442,0.0076394,-0.013533259,0.035005109,0.006995871,0.011760018,0.034762515,0.009194019,-0.036779046,0.034502203,0.01081363,0.033451939,0.034802413,0.019976956,-0.038252821,0.03195121,0.019670838,0.036949391,0.031526861,0.06047639,-0.005546885,0.023467734,0.058902957,0.007433554,0.023147835,0.056859111,-0.041328496,0.027546083,0.055372928,0.040837467,0.027100035,0.047640745,-0.105812343,-0.006491998,0.048468028,0.10513298,-0.007142736,0.08853592,-0.024907353,0.039240517,0.092490943,0.023552454,0.040417504,0.093211497,-0.072670607,0.020624348,0.09213256,0.072852604,0.022255073,0.110010966,-0.014518028,0.025931358,0.109338587,0.01703153,0.027263356,0.163482979,-0.042926631,0.014338451,0.164177884,0.045629714,0.017687738,0.168240731,-0.012230921,0.028022204,0.168776913,0.011907472,0.027429407,-0.186893936,-0.02472737,0.009893143,-0.186586792,0.026271164,0.012546577,-0.081042794,-0.048460079,-0.046036148,0.033450739,-0.119277646,0.002967104,0.054358356,-0.118429553,0.005079515,0.129202137,-0.09697902,-0.015004574,0.157118428,-0.08983067,-0.041534135,-0.194911226,-0.019566531,0.034757771,-0.19152987,0.021287234,0.037522725,-0.082908056,0.046592039,-0.051499498,0.032841548,0.120177881,0.005709957,0.053674164,0.119675232,0.006550611,0.130591075,0.098105483,-0.012467103,0.159321506,0.090656955,-0.036034207,0.169823365,0.002035589,0.020773105,0.10526368,0.00102983,0.012902634,0.033210435,0.000139455,0.006954735,-0.015212382,-0.002277126,-0.008290764,-0.072350566,-0.004121447,-0.065566796
8,0.135918481,-0.006279072,-0.107352614,0.049914004,-0.003691904,-0.104475622,-0.076623764,-0.000295994,-0.070394007,-0.077248847,0.008664965,-0.070218387,-0.077687512,-0.009095196,-0.070276873,-0.100713014,0.038846971,-0.04817052,-0.100391611,-0.042090756,-0.047104133,-0.088484314,0.04411941,-0.048250862,-0.087541459,-0.047228776,-0.04727344,-0.058647937,0.096444523,-0.004601918,-0.057698373,-0.097187626,-0.005719095,0.021217591,0.065264363,-0.084877466,0.014843584,-0.060648253,-0.08751857,-0.1460873,-0.006315441,0.050923935,-0.147122737,0.005662632,0.051431912,-0.111553948,-0.021245121,0.044600171,-0.108816654,0.020844733,0.043988934,-0.11616072,-0.05646121,0.000174398,-0.116641054,0.056273049,-0.001207022,-0.078072534,-0.067899032,0.013416839,-0.078534521,0.069997059,0.012256041,-0.069551247,-0.033026274,0.034592049,-0.069933924,0.031879843,0.035906155,-0.046599717,-0.010550986,0.028654711,-0.046972492,0.008539491,0.029449306,-0.019910033,-0.014285617,0.032217675,-0.022288891,0.013448317,0.032441215,0.007001127,-0.011901905,0.034833957,0.005560994,0.012388485,0.035161517,0.008171816,-0.03408637,0.03381368,0.008419377,0.033364496,0.034339299,0.018775141,-0.03525364,0.030511455,0.016738523,0.036938134,0.030250299,0.05707001,-0.004281458,0.020349793,0.056052945,0.008515355,0.020558533,0.051986308,-0.038711748,0.023315253,0.052222035,0.041214877,0.024548046,0.044402566,-0.100564151,-0.010625869,0.049607125,0.103600105,-0.009080359,0.083917919,-0.022347318,0.034327846,0.088537593,0.0244593,0.037846319,0.090137481,-0.069993228,0.014968422,0.094035802,0.071785979,0.019350779,0.106182742,-0.013441638,0.023138452,0.106616956,0.01640493,0.025189408,0.161385277,-0.044111988,0.01325401,0.164097983,0.042939903,0.017756625,0.18425888,-0.018417667,0.025949741,0.18097769,0.015917018,0.027378494,-0.191194989,-0.025557311,0.013637071,-0.191874886,0.024719048,0.012985036,-0.077779054,-0.044976431,-0.044770486,0.032649075,-0.1163854,0.000167783,0.053581848,-0.114655855,0.00027577,0.127924144,-0.09402703,-0.014684534,0.160277073,-0.089014109,-0.036866778,-0.20027178,-0.020439415,0.03682739,-0.197215723,0.020836684,0.039027907,-0.079571459,0.042526616,-0.048961939,0.030805911,0.120480323,0.003665458,0.052540985,0.119858124,0.004030436,0.134329498,0.093376834,-0.012633612,0.165814559,0.08658602,-0.033492986,0.172312022,0.001067174,0.016552112,0.102027562,0.001482333,0.01033295,0.031609282,0.001043222,0.004351089,-0.012071487,-0.001985085,-0.007820635,-0.068659926,-0.003037311,-0.062370542
9,0.132407021,0.001336115,-0.117091258,0.048486246,-0.001017721,-0.108482395,-0.080748063,-0.000766514,-0.07167563,-0.081382721,0.009079938,-0.071551373,-0.081821089,-0.00991836,-0.071219574,-0.097936858,0.045392772,-0.04980214,-0.097541392,-0.046296973,-0.04910374,-0.086250483,0.050843719,-0.049957568,-0.085781914,-0.051780227,-0.049395932,-0.053664829,0.098891672,-6.56E-05,-0.055967322,-0.099374666,-0.000930272,0.013939564,0.072468116,-0.085669612,0.008182852,-0.064464802,-0.088281887,-0.144167444,-0.00604683,0.046535335,-0.14532994,0.006681338,0.04739032,-0.112599456,-0.020621849,0.041267341,-0.10684475,0.022029488,0.041166495,-0.112600952,-0.058858183,-0.001425629,-0.110598716,0.062207705,-0.00154375,-0.077198405,-0.070631742,0.013313012,-0.075211294,0.073352683,0.013369128,-0.069175096,-0.033427574,0.034161486,-0.070711802,0.032606671,0.035265506,-0.044828124,-0.01000932,0.028451899,-0.044008545,0.00793591,0.029075892,-0.021196357,-0.014703949,0.032675108,-0.022308485,0.012534633,0.032396711,0.005702378,-0.014469383,0.036905225,0.005669394,0.009979766,0.037291955,0.006272839,-0.03536422,0.035922246,0.008742998,0.02806953,0.037204729,0.018222043,-0.037582293,0.033435954,0.017564563,0.030596002,0.034118853,0.058560242,-0.007793807,0.019832842,0.05755821,0.004648597,0.019695302,0.055665581,-0.042340675,0.026346835,0.054508335,0.035067498,0.026357845,0.04235336,-0.103366382,-0.00351333,0.043458497,0.102495688,-0.003751899,0.085149077,-0.021881571,0.036735224,0.091977606,0.019954002,0.037749348,0.089403817,-0.071151091,0.021676219,0.091852802,0.072255629,0.020181743,0.110791053,-0.011986966,0.022070496,0.112012117,0.01422883,0.022292598,0.159386391,-0.035520738,0.013499206,0.166211239,0.045686246,0.012697228,0.181174518,-0.010725645,0.025037624,0.180426318,0.013830031,0.023151727,-0.190896074,-0.025108815,0.011026095,-0.189487668,0.027239785,0.011489245,-0.077351112,-0.049364617,-0.04684684,0.028300824,-0.117394693,0.006875124,0.047127592,-0.116899909,0.007117592,0.127536963,-0.091477187,-0.009120073,0.156572334,-0.085710939,-0.03526714,-0.198287855,-0.018548019,0.034564261,-0.194205798,0.021986627,0.037326621,-0.078613717,0.048585378,-0.050822025,0.030279196,0.116626558,0.007614556,0.049235977,0.116556466,0.007247218,0.132500059,0.096055239,-0.013730925,0.161812317,0.090536985,-0.037658741,0.178895685,0.003579709,0.016660633,0.104698817,2.68E-05,0.006630795,0.031366575,-0.003289555,0.003934511,-0.016284463,-0.001548967,-0.008151613,-0.071004672,-0.003921982,-0.062699142
10,0.115013845,-0.004769427,-0.113648551,0.036588323,-0.006577569,-0.108597814,-0.081707229,0.002801561,-0.070843844,-0.083330304,0.010018334,-0.070164413,-0.081307492,-0.004151464,-0.071581061,-0.107182922,0.045120002,-0.050496139,-0.09800867,-0.042450428,-0.055131919,-0.098161153,0.053540419,-0.054121848,-0.085283186,-0.051407905,-0.058003827,-0.071992053,0.13886517,-0.033246448,-0.044088212,-0.112740862,-0.022312755,0.005515655,0.068438253,-0.088545642,0.009622141,-0.06550952,-0.093809285,-0.127908875,-0.008257516,0.057401649,-0.130979917,0.005936299,0.061066263,-0.098442243,-0.026443244,0.04887355,-0.094827402,0.020688041,0.054818564,-0.10748802,-0.062351436,-0.005433064,-0.113212379,0.066612998,0.007391559,-0.070932589,-0.080106464,0.008938512,-0.080426144,0.076169662,0.020725496,-0.061868853,-0.039541479,0.040808928,-0.069235743,0.032321281,0.047042938,-0.040765843,-0.01532934,0.034599331,-0.042910605,0.00481539,0.036020761,-0.014922166,-0.018410503,0.038293511,-0.017267544,0.010346371,0.039359233,0.005933962,-0.015320352,0.040316207,0.004259764,0.012824035,0.041486862,0.009352009,-0.040168889,0.03705688,0.009813699,0.034904514,0.041940337,0.022519431,-0.041216573,0.033135484,0.017841286,0.036933959,0.038617036,0.050635984,-0.00708209,0.025224272,0.048693606,0.005639767,0.025422908,0.056546797,-0.044820186,0.02802009,0.049373987,0.039292917,0.029837082,0.052125208,-0.113842669,-0.011450447,0.046546957,0.123092797,-0.020493044,0.08270706,-0.026067125,0.041283952,0.085292948,0.023266167,0.042912988,0.092880869,-0.080736134,0.019021492,0.088418287,0.07615701,0.021549334,0.099187074,-0.015685027,0.028340223,0.099148156,0.013817395,0.028931125,0.160534967,-0.049349011,0.01677054,0.158632546,0.044984548,0.019432837,0.170932141,-0.016700282,0.032307991,0.167622836,0.007857627,0.031981517,-0.17417271,-0.021450652,0.006376095,-0.177825425,0.034941793,0.009237826,-0.073823556,-0.049320589,-0.054126264,0.040888285,-0.136282678,-0.002065104,0.058516245,-0.131876372,-0.00226167,0.130702508,-0.104063501,-0.012136878,0.153945167,-0.099664693,-0.035613747,-0.178496097,-0.020302237,0.023174541,-0.177464751,0.032107485,0.028370728,-0.089247563,0.051242894,-0.0541371,0.026581913,0.147055053,-0.01704037,0.054148653,0.142442109,-0.012779313,0.128682016,0.100572138,-0.011165449,0.152531357,0.095764861,-0.034094882,0.167280206,-0.002846687,0.024800261,0.091713082,-0.002119453,0.014704906,0.026074868,-0.000671124,0.006684437,-0.010971766,-0.000907461,-0.005165542,-0.072552431,-2.99E-05,-0.063811825
