,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144,V145,V146,V147,V148,V149,V150,V151,V152,V153,V154,V155,V156,V157,V158,V159,V160,V161,V162,V163,V164,V165,V166,V167,V168,V169,V170,V171,V172,V173,V174,V175,V176,V177,V178,V179,V180,V181,V182,V183,V184,V185,V186,V187,V188,V189,V190,V191,V192,V193,V194,V195,V196,V197,V198,V199,V200,V201,V202,V203,V204
1,0.130745595,-0.003928151,-0.108932448,0.04526923,-0.004740404,-0.106856139,-0.081867684,-0.002047295,-0.069683039,-0.082120435,0.005426544,-0.069625955,-0.082585691,-0.009206229,-0.069452806,-0.098227984,0.040458224,-0.050676768,-0.097571058,-0.043729462,-0.048150874,-0.085806047,0.046884795,-0.050715586,-0.08508704,-0.049367416,-0.04714364,-0.05067487,0.096592184,-0.005975233,-0.049725629,-0.097058786,-0.001986576,0.015255095,0.062492113,-0.082192272,0.011818077,-0.061933389,-0.082109196,-0.147571101,-0.006617618,0.05081981,-0.148736034,0.007272455,0.051335738,-0.115602454,-0.021344225,0.043924909,-0.112384324,0.02228878,0.043236228,-0.116902894,-0.059322767,-0.000832236,-0.115395957,0.060182433,-0.004401731,-0.078163655,-0.06909845,0.012135621,-0.076387119,0.072516071,0.009181753,-0.070725165,-0.034694916,0.035813038,-0.070360363,0.035611599,0.034851057,-0.041813092,-0.014102769,0.028943164,-0.041509898,0.013243504,0.028977907,-0.022574805,-0.017709687,0.032153853,-0.023957969,0.018400984,0.031996342,-0.000116721,-0.015258497,0.033198836,0.000785119,0.015020315,0.033561041,0.003456613,-0.033933497,0.032674368,0.005250066,0.03217564,0.033521972,0.016291472,-0.035211899,0.030418608,0.016097661,0.033852438,0.031476326,0.06165021,-0.005806027,0.020964271,0.058973153,0.008438708,0.0212727,0.05573255,-0.040696131,0.027012051,0.055387526,0.040519728,0.026840775,0.046504816,-0.100770034,-0.012346606,0.047007836,0.101713321,-0.009331584,0.088062617,-0.024566327,0.034775261,0.092476152,0.026089864,0.034592842,0.095034822,-0.073335422,0.017918848,0.093331113,0.074087589,0.017863816,0.111030208,-0.012684543,0.020050548,0.110929402,0.016792912,0.019406736,0.162368111,-0.04113391,0.010819897,0.160348437,0.045073842,0.008682545,0.176544977,-0.010165981,0.041635675,0.174937624,0.012619232,0.039239896,-0.187988542,-0.025074123,0.013511814,-0.189435165,0.026229795,0.015325597,-0.0771374,-0.047380459,-0.044059931,0.034168708,-0.1158388,-0.00041369,0.051255839,-0.115290405,-0.000527949,0.135131339,-0.094309399,-0.011133453,0.162692907,-0.088585845,-0.034171365,-0.196582391,-0.019881726,0.037117013,-0.194469539,0.02167408,0.039181072,-0.078573983,0.044785178,-0.051267105,0.032263072,0.116620366,0.001155721,0.049630621,0.116021558,0.000730726,0.131949469,0.095475409,-0.015368577,0.159613579,0.089376401,-0.038134005,0.182322816,0.0021402,0.022074342,0.104333873,0.001588233,0.008106325,0.029745109,-0.000188522,0.007413718,-0.010829593,-0.002313329,-0.005926276,-0.077511211,-0.004338054,-0.062497724
2,0.133379662,-0.006166069,-0.123394844,0.04509554,-0.007169599,-0.126647618,-0.080094566,-0.002000613,-0.070066309,-0.080238019,0.007869145,-0.069344043,-0.080787229,-0.010663711,-0.069245093,-0.095555289,0.041093109,-0.049938022,-0.094827435,-0.045209879,-0.048435959,-0.08462478,0.047465729,-0.050320961,-0.083850461,-0.051773966,-0.047901858,-0.051266743,0.104990086,-0.001604026,-0.051553661,-0.104987886,-0.000944778,0.010593224,0.074894488,-0.098303881,0.008101926,-0.073692669,-0.097741985,-0.142560406,-0.006060308,0.053939269,-0.144115633,0.009736947,0.0540001,-0.107654881,-0.022678436,0.046792925,-0.104320924,0.025374741,0.046931098,-0.11024346,-0.061314015,0.000251758,-0.110642782,0.062810128,-0.000652582,-0.074159607,-0.0720133,0.012585066,-0.074072598,0.075381802,0.010993262,-0.063226583,-0.036571334,0.033676726,-0.063181325,0.037250121,0.034382388,-0.04014499,-0.012887179,0.029496979,-0.039655256,0.011846333,0.030613156,-0.019024966,-0.019716442,0.030778714,-0.020216722,0.018803472,0.031246402,0.003308762,-0.016253653,0.033013116,0.00398656,0.015034077,0.032882544,0.007630743,-0.040686239,0.032525837,0.012058836,0.03690767,0.03342506,0.01701367,-0.041847274,0.028103546,0.017909086,0.040081549,0.027556772,0.051482838,-0.00705208,0.01886811,0.050407104,0.007098665,0.018563605,0.048004348,-0.046840019,0.022554697,0.045446801,0.044330332,0.020589408,0.050983303,-0.112525097,-0.006836857,0.047428107,0.113158324,-0.009467365,0.080255414,-0.027081417,0.038165079,0.083908015,0.026255961,0.039707608,0.086898828,-0.078919739,0.020607876,0.080180341,0.078986611,0.021226348,0.106876599,-0.017049484,0.023543618,0.105383131,0.019614691,0.023881298,0.161433098,-0.045827887,0.018598964,0.155638068,0.05408421,0.019651995,0.170401549,-0.018731489,0.04117513,0.162316515,0.018312626,0.04259368,-0.184317659,-0.02395545,0.014402529,-0.183935025,0.028538291,0.016509466,-0.075319881,-0.049404535,-0.045406924,0.037527909,-0.124472075,0.003773826,0.05580337,-0.124748946,0.004402,0.131722287,-0.101858083,-0.011688054,0.160342347,-0.097503852,-0.037579321,-0.193180153,-0.018489353,0.040553528,-0.190227519,0.024808412,0.042938695,-0.076449119,0.045559966,-0.05068776,0.033544568,0.126269157,0.000677889,0.052708129,0.126648246,0.001569637,0.124934468,0.107861833,-0.012471619,0.159677996,0.102448318,-0.037300373,0.167191305,0.001830747,0.02873927,0.100059143,0.000396631,0.01317322,0.030532124,-0.001694846,-0.000216557,-0.0069713,-0.002813441,-0.009839297,-0.07374674,-0.005082057,-0.063626111
3,0.131409143,-0.00369753,-0.114330096,0.04700827,-0.004442529,-0.10734504,-0.07717808,-0.001834707,-0.071047457,-0.077611495,0.005326489,-0.070600266,-0.078409832,-0.008550233,-0.0703932,-0.096442589,0.039881383,-0.053060462,-0.096374632,-0.043309037,-0.050417192,-0.084927351,0.046445383,-0.052960336,-0.084415271,-0.049183427,-0.050222305,-0.054382255,0.100664563,-0.004961897,-0.052496299,-0.099505973,-0.00153169,0.014099337,0.06439427,-0.086931573,0.012694561,-0.062217156,-0.086488283,-0.147139471,-0.006725122,0.050202717,-0.148101272,0.007394596,0.050623001,-0.11519697,-0.021305495,0.045483024,-0.113376325,0.023198552,0.043704437,-0.1139779,-0.062009508,-0.000342545,-0.113043841,0.062096083,-0.004022313,-0.076682959,-0.070788514,0.014348806,-0.076098822,0.074985357,0.011357917,-0.070531521,-0.033914919,0.03658177,-0.070505433,0.035735134,0.034767283,-0.04462372,-0.010023334,0.029153549,-0.044625817,0.010716485,0.028842565,-0.022373059,-0.014631181,0.0331287,-0.024166496,0.017140705,0.031535577,0.00302221,-0.012460069,0.036503077,0.003043818,0.013949596,0.035860714,0.0060183,-0.032562683,0.035357341,0.007561467,0.03174184,0.034314374,0.017480661,-0.033599202,0.032940432,0.017219428,0.033735569,0.031979312,0.055585258,-0.005748413,0.020346276,0.054586415,0.007218099,0.020253104,0.052877108,-0.038911183,0.026592206,0.052947713,0.039117926,0.026004342,0.048015789,-0.103284682,-0.004359499,0.048132496,0.103071601,-0.005752899,0.085184543,-0.023219311,0.036975347,0.089377022,0.022596232,0.037777301,0.092890941,-0.071092237,0.019759132,0.091121585,0.072206991,0.019309116,0.109135808,-0.013911785,0.020493059,0.109086363,0.01474341,0.02064846,0.165221466,-0.041334227,0.010482809,0.162866022,0.045453921,0.01120602,0.182430869,-0.011080384,0.034618543,0.179341692,0.012553331,0.033351504,-0.188453849,-0.02738678,0.014601062,-0.189100751,0.025783767,0.015623296,-0.075965099,-0.047684846,-0.047858698,0.034893677,-0.11708069,0.004147265,0.052546425,-0.117186634,0.005102206,0.131853601,-0.093697911,-0.013960636,0.158245632,-0.088578157,-0.039190292,-0.197432253,-0.021348462,0.038789614,-0.195138037,0.02093433,0.040198337,-0.077463219,0.044492494,-0.053549823,0.032762455,0.117171364,0.004871808,0.051934021,0.117663837,0.004739296,0.130213281,0.094910476,-0.015493898,0.155883564,0.089831799,-0.039496904,0.175648225,0.002295547,0.01982458,0.100780809,0.000259104,0.008677166,0.029729796,-0.000109281,0.005417034,-0.016058679,-0.001252919,-0.008424194,-0.070556474,-0.004041713,-0.063751982
4,0.132402381,-0.002338167,-0.114723902,0.048967072,-0.003988458,-0.108623972,-0.078218001,-0.001839852,-0.069507987,-0.079008297,0.005519418,-0.069734714,-0.078646983,-0.008723147,-0.069457037,-0.095346075,0.04066437,-0.052450282,-0.094848993,-0.0446376,-0.050822298,-0.083572317,0.04634505,-0.051882289,-0.082534343,-0.05051689,-0.049406958,-0.050765073,0.100066985,-0.00317502,-0.050316015,-0.100832603,-0.000731325,0.016092483,0.067141878,-0.08745153,0.012473639,-0.064596626,-0.089491744,-0.146438063,-0.0056576,0.048063399,-0.147822823,0.007474878,0.048759182,-0.114801364,-0.021244129,0.043798261,-0.112775327,0.022567473,0.042777032,-0.112837822,-0.060605682,-0.00197521,-0.111403241,0.060284034,-0.003941556,-0.075492278,-0.072293293,0.015557931,-0.075100692,0.074154091,0.012156854,-0.071118568,-0.034817036,0.036965514,-0.071657536,0.033428255,0.035176046,-0.046576586,-0.010724978,0.02935718,-0.04646613,0.008659169,0.0294409,-0.022602642,-0.015337164,0.034069538,-0.02452544,0.015043799,0.032676066,0.003300342,-0.012988169,0.037770178,0.002533243,0.012536085,0.037490631,0.005851118,-0.033551675,0.036094152,0.007388663,0.031537014,0.036655244,0.017339541,-0.033859723,0.033968563,0.016456027,0.034178178,0.03382618,0.055863591,-0.004430562,0.021294653,0.054284375,0.008123328,0.020907271,0.054146351,-0.039196214,0.028043496,0.052002148,0.040258891,0.027089456,0.046608358,-0.1044641,-0.003180128,0.046219352,0.105712482,-0.005609948,0.08473041,-0.021768147,0.036601199,0.088936457,0.021990194,0.036736726,0.093416467,-0.071732491,0.020583802,0.092463097,0.073500287,0.019114246,0.107556994,-0.011539593,0.021692702,0.106852497,0.01665721,0.021817773,0.164397305,-0.041744999,0.011364103,0.164014849,0.045206495,0.011482202,0.178884643,-0.013915738,0.024169008,0.176381545,0.013224354,0.023717964,-0.189757835,-0.025707524,0.011908757,-0.189796977,0.026773568,0.01333202,-0.074217109,-0.04826973,-0.045975415,0.034612996,-0.118245625,0.004722987,0.051651096,-0.118492888,0.005411925,0.131930981,-0.094776473,-0.012498665,0.158515441,-0.090163562,-0.037507121,-0.197802839,-0.020040434,0.036491564,-0.195799297,0.022267332,0.038088639,-0.075919332,0.044352415,-0.051711147,0.032353972,0.120191106,0.003528433,0.05159697,0.120280926,0.004318744,0.132531073,0.096482748,-0.015212316,0.158544338,0.091330332,-0.038397926,0.173939303,0.001377851,0.017827794,0.099637352,0.000951501,0.008888778,0.029559114,0.00161847,0.00727746,-0.016295109,-0.002330174,-0.006462332,-0.071972479,-0.004529122,-0.061083729
5,0.132104954,-0.002310755,-0.105683015,0.049098513,-0.003823949,-0.104575509,-0.077873711,-0.002444413,-0.067431283,-0.07862209,0.004746417,-0.067437829,-0.078585375,-0.009207648,-0.067262289,-0.098504552,0.03817562,-0.051321465,-0.098472077,-0.042692317,-0.049147471,-0.085503812,0.043916898,-0.050740445,-0.085947217,-0.048115186,-0.047789137,-0.051892505,0.096344937,-0.003428746,-0.053841037,-0.097487046,-0.001519638,0.017596516,0.0636898,-0.084151193,0.01371732,-0.060417226,-0.08467579,-0.150086469,-0.005337561,0.049348949,-0.150483922,0.007461,0.049480123,-0.116546081,-0.020725226,0.044135351,-0.113440563,0.022644155,0.042341399,-0.117012497,-0.058187741,0.000343744,-0.11575762,0.057728544,-0.003442993,-0.078418032,-0.068430123,0.013393241,-0.077083718,0.070433606,0.009598898,-0.070764664,-0.033722676,0.035232256,-0.069345094,0.034174368,0.034257229,-0.045470443,-0.010858531,0.029816251,-0.044700381,0.009368057,0.030312556,-0.02193792,-0.01553796,0.033075462,-0.022768313,0.015569614,0.032432339,0.003344993,-0.013354021,0.035456391,0.003313528,0.013296899,0.035150799,0.006244694,-0.035552835,0.03437649,0.00892735,0.033040149,0.034477678,0.016735833,-0.036382112,0.032270274,0.017612716,0.035186826,0.031548942,0.057958005,-0.004990816,0.022263761,0.0567347,0.007076084,0.022082716,0.054202113,-0.039241993,0.026747338,0.054811828,0.03940267,0.02639595,0.049792248,-0.101804902,-0.006863354,0.050270403,0.102868268,-0.008147301,0.086187277,-0.023012183,0.035446618,0.090578705,0.022981421,0.035328649,0.094470126,-0.0701222,0.016997234,0.092923658,0.071497085,0.017678717,0.10984625,-0.014436744,0.022462667,0.109396072,0.017605487,0.02330236,0.165055451,-0.040192456,0.012680243,0.16438052,0.045941887,0.012139951,0.176819964,-0.013528705,0.025247334,0.174040135,0.014369282,0.023520669,-0.192499222,-0.025316341,0.011186453,-0.192751399,0.025553817,0.01174697,-0.078145719,-0.04555143,-0.045352955,0.034306328,-0.115588629,0.00430658,0.054112623,-0.115239783,0.005408739,0.133382188,-0.091960151,-0.014536856,0.160972307,-0.085919552,-0.037994198,-0.201781962,-0.019091826,0.035463946,-0.198599814,0.02089673,0.035881919,-0.078184966,0.041173254,-0.051029227,0.034618194,0.117729204,0.003893417,0.055426836,0.117578933,0.004354607,0.132907688,0.09534201,-0.016710691,0.160439777,0.089563217,-0.039066763,0.173046255,0.002027152,0.017804453,0.102640777,0.001142176,0.010486974,0.030672961,-0.000153421,0.007402323,-0.013331502,-0.002532792,-0.008112316,-0.070337129,-0.005254318,-0.060858495
6,0.125746829,-0.002340449,-0.111714842,0.041149397,-0.003835712,-0.110887378,-0.081280699,-0.001508587,-0.069777904,-0.081575132,0.008354814,-0.069499875,-0.082065727,-0.010317398,-0.06879291,-0.100658472,0.040804457,-0.052520119,-0.099768725,-0.04360143,-0.050074417,-0.089890751,0.045437319,-0.052240147,-0.088617397,-0.04914706,-0.049292608,-0.055924898,0.099538748,-0.002767335,-0.054865068,-0.09958542,0.000209421,0.010538546,0.067852221,-0.0908512,0.006233842,-0.065010859,-0.090513556,-0.141659255,-0.005983941,0.049827591,-0.142618932,0.006529199,0.050142249,-0.111030165,-0.020937113,0.043412894,-0.108892368,0.021859144,0.041686733,-0.114223293,-0.059713394,0.001263884,-0.112589498,0.060705925,-0.001609898,-0.077240932,-0.069522924,0.013940919,-0.076752726,0.072334497,0.010716871,-0.065519151,-0.034241571,0.033442644,-0.067046375,0.034556427,0.033150675,-0.044444577,-0.010663198,0.028135136,-0.044594594,0.009054803,0.028248237,-0.019820887,-0.016785402,0.031695197,-0.021649429,0.015911077,0.030565661,0.004307922,-0.014018383,0.033337185,0.00468729,0.013104095,0.032519303,0.009065213,-0.036589249,0.034111692,0.010455649,0.033631826,0.033449657,0.018465583,-0.037168186,0.031400544,0.018133819,0.036723907,0.03022326,0.061210723,-0.004649565,0.022367611,0.059662183,0.007746269,0.021764247,0.055917415,-0.041437922,0.027156691,0.054005182,0.041001988,0.025389031,0.047324435,-0.105103534,-0.005990137,0.046587569,0.104755616,-0.009334357,0.087265355,-0.022633577,0.038447408,0.091605987,0.023499929,0.038201176,0.091519538,-0.072395996,0.020187661,0.090049875,0.073648724,0.02060689,0.111763141,-0.013328028,0.023591473,0.111604909,0.019351685,0.023895494,0.164090726,-0.042964152,0.011344498,0.163860757,0.046585049,0.014477193,0.177383808,-0.012514475,0.040129045,0.176486699,0.011486347,0.040190505,-0.18647543,-0.024841892,0.011878787,-0.186744504,0.02531237,0.013408439,-0.080860459,-0.047254425,-0.046792222,0.034049437,-0.117946534,0.004237056,0.053917535,-0.117310546,0.006362045,0.128676316,-0.093097383,-0.015451298,0.155203353,-0.089253002,-0.040508084,-0.194504927,-0.019937818,0.035836659,-0.191360338,0.021290673,0.037449729,-0.083164697,0.042897481,-0.053100277,0.031686097,0.119205836,0.000704816,0.052027024,0.119687133,0.003183669,0.129553405,0.096187394,-0.015604345,0.157503988,0.091291957,-0.040022193,0.179406396,0.000763177,0.029548345,0.10535245,0.001752943,0.012026416,0.030746222,0.000330448,0.006352878,-0.017131563,-0.002285642,-0.009534381,-0.074273648,-0.005268713,-0.063338033
7,0.131977387,-0.000537362,-0.114863041,0.048710455,-0.002702134,-0.107662704,-0.077013835,-0.000969848,-0.072138211,-0.077191013,0.007149259,-0.072421448,-0.077570948,-0.008503526,-0.071201575,-0.094934039,0.04210045,-0.053646976,-0.095501762,-0.045988556,-0.051257232,-0.08328162,0.04698873,-0.051838083,-0.083634482,-0.051373286,-0.049589695,-0.053583128,0.09958059,-2.97E-05,-0.056192018,-0.09999946,0.001227965,0.017604891,0.068881294,-0.088974076,0.010497737,-0.063080679,-0.089587408,-0.147568682,-0.005876092,0.04864186,-0.148756781,0.006637866,0.04931555,-0.11508233,-0.020896542,0.043175035,-0.111748052,0.021490676,0.04268832,-0.11328576,-0.059893416,0.00031913,-0.111245084,0.06221811,-0.002175934,-0.077372926,-0.070875774,0.014050219,-0.076257286,0.072949499,0.01165865,-0.069164623,-0.033247536,0.034801025,-0.071537924,0.031957644,0.035463076,-0.045143356,-0.011133719,0.028997773,-0.04503098,0.008864348,0.029811751,-0.02283132,-0.016053269,0.033048807,-0.024138505,0.014777347,0.032598485,0.00273778,-0.014347727,0.036981152,0.002778588,0.011541717,0.037225733,0.006083364,-0.034890852,0.036654396,0.008184888,0.029104946,0.036697626,0.016669471,-0.036104208,0.034313629,0.016719667,0.030993596,0.033486904,0.05808829,-0.006754641,0.020001158,0.057434749,0.005606719,0.019396491,0.0542071,-0.040920626,0.027812709,0.053643135,0.03690407,0.026898173,0.04416543,-0.10368193,-0.001392459,0.043523605,0.10296365,-0.004762295,0.084475049,-0.020574018,0.036394742,0.090120141,0.020106946,0.037429566,0.089668009,-0.070635439,0.022629369,0.091254138,0.072247073,0.018803845,0.110543697,-0.011836002,0.021162479,0.111065677,0.01574779,0.020385627,0.159643018,-0.037232627,0.012386758,0.165847082,0.046179631,0.01212322,0.182130371,-0.010183013,0.023481281,0.179981339,0.014528058,0.021429549,-0.190815311,-0.026388354,0.011840955,-0.190360003,0.026027151,0.012645864,-0.07570552,-0.048343727,-0.045925454,0.031271701,-0.117414518,0.009294458,0.050071912,-0.116827776,0.009806762,0.128370721,-0.091716618,-0.009494949,0.155171919,-0.086046431,-0.034925919,-0.198500218,-0.019864471,0.036442887,-0.19550018,0.021288404,0.038055277,-0.07593911,0.044536615,-0.051578813,0.033506543,0.117900444,0.005522528,0.051340945,0.116696907,0.004133226,0.132564498,0.097870415,-0.015378664,0.161241714,0.09242122,-0.038926017,0.178439713,0.00446918,0.015243648,0.10241833,0.001829503,0.00589086,0.030109415,-0.001789884,0.005078064,-0.017307624,-0.001830426,-0.005361865,-0.070068049,-0.004045362,-0.062314018
8,0.117041617,-0.007247108,-0.115884484,0.035011623,-0.00784351,-0.112167392,-0.08209735,-0.000188103,-0.076954236,-0.082949263,0.007667263,-0.07697781,-0.082821797,-0.007374519,-0.076986325,-0.104766985,0.044030181,-0.058381111,-0.099976764,-0.045748404,-0.057053849,-0.092872791,0.050052382,-0.057116026,-0.084917965,-0.054065384,-0.056121494,-0.053673726,0.110235647,-0.003923515,-0.044256206,-0.111152671,-0.014122461,0.004877949,0.067913092,-0.09524651,0.006724293,-0.070352008,-0.09446097,-0.127660859,-0.006878037,0.053443253,-0.130602886,0.010087284,0.054987631,-0.100495155,-0.02454729,0.045843755,-0.099064745,0.023923507,0.051919345,-0.106061513,-0.062119412,-0.00136711,-0.11212276,0.067590723,0.002691345,-0.070780516,-0.077129421,0.010775139,-0.08180522,0.081916204,0.013823949,-0.066636752,-0.037240078,0.038710281,-0.072574347,0.036224643,0.043280418,-0.045087069,-0.011760144,0.033827706,-0.045966152,0.008793693,0.033469613,-0.021502647,-0.014253372,0.035556543,-0.023481831,0.010742075,0.034981144,0.005854359,-0.012361741,0.037934512,0.003549821,0.012270202,0.039827132,0.009359148,-0.036030751,0.03734591,0.006831146,0.034257917,0.039425342,0.019836255,-0.035042752,0.031971542,0.016813073,0.038031774,0.034618156,0.051436312,-0.005048077,0.024072309,0.050578997,0.008269457,0.021490707,0.055230275,-0.039696018,0.028157406,0.051300614,0.038224282,0.026252283,0.05219077,-0.112322483,-0.011093573,0.043242666,0.110204187,-0.016809766,0.084644858,-0.022158078,0.042073372,0.086938533,0.025479877,0.039825365,0.093913484,-0.079689649,0.022387726,0.089916786,0.080809926,0.018846901,0.104111444,-0.013614612,0.027982225,0.102676031,0.016898293,0.028638041,0.163290434,-0.047052913,0.019783219,0.161472694,0.048787715,0.018372128,0.16961979,-0.013340959,0.032107833,0.163842311,0.010267607,0.031568711,-0.1820057,-0.022003726,0.010147267,-0.183720406,0.034719512,0.012533563,-0.073333208,-0.052074905,-0.052623252,0.043742841,-0.133311845,0.005361874,0.062703012,-0.129266339,0.003401295,0.13484348,-0.106437354,-0.009745796,0.157127694,-0.10312412,-0.03322476,-0.179866914,-0.018385905,0.035285994,-0.177810929,0.029846213,0.038943613,-0.084889308,0.047352521,-0.05682212,0.031788943,0.132394523,0.001706255,0.050762568,0.12821342,0.000102682,0.129153881,0.105751817,-0.016347455,0.153249143,0.100696779,-0.038041196,0.161899544,0.000516803,0.024954734,0.094883955,0.000968196,0.014494067,0.030342631,0.000665038,0.005619744,-0.011374389,-0.002675213,-0.008076503,-0.07562682,-0.002265853,-0.068994317
9,0.131682837,-0.00214531,-0.10417735,0.048081379,-0.003145398,-0.099540862,-0.07917302,-0.001139299,-0.067523937,-0.079502014,0.005590487,-0.067393386,-0.08001678,-0.007677057,-0.067213346,-0.100300785,0.039285245,-0.049588833,-0.099702422,-0.043287035,-0.047255445,-0.086918448,0.046578911,-0.051084922,-0.084657091,-0.051304483,-0.047854501,-0.052659614,0.098770803,-0.003254581,-0.052065542,-0.098596251,-0.001629598,0.017282642,0.062967002,-0.083077804,0.015443604,-0.059491924,-0.082090063,-0.147080484,-0.006357024,0.050609716,-0.148574669,0.00752097,0.050653541,-0.113127859,-0.022350919,0.046397828,-0.1115438,0.02365156,0.044510238,-0.116376659,-0.058813418,0.004233404,-0.116137727,0.059143002,0.000771875,-0.076148489,-0.071137638,0.015999398,-0.076719198,0.072528961,0.01290565,-0.073751028,-0.034697473,0.038388541,-0.074040165,0.03447795,0.037154235,-0.049040049,-0.011312998,0.030629499,-0.048992947,0.009877712,0.030420316,-0.024959454,-0.015579649,0.0342997,-0.02674807,0.015135075,0.033539668,0.002522754,-0.010287955,0.035071087,0.001764542,0.009767069,0.035160629,-0.013596554,-0.010704139,0.003250803,-0.009381381,0.007903147,0.003574179,0.005426363,-0.012405196,0.010361042,0.008607812,0.004221924,0.006422388,0.058413351,-0.005210091,0.023391208,0.057664936,0.008169698,0.023035104,0.055077862,-0.032891083,0.02833385,0.056356857,0.036361672,0.027121967,0.052920866,-0.097907889,-0.006280098,0.054072285,0.099043943,-0.00911498,0.091409459,-0.02250959,0.036543991,0.095087702,0.022954602,0.036360054,0.100853604,-0.070157009,0.018682219,0.100134062,0.071058901,0.018392983,0.11081603,-0.013687458,0.026574514,0.110989726,0.015255468,0.026579094,0.16935626,-0.038814359,0.015866599,0.169463468,0.042002492,0.014942493,0.171400259,-0.009701543,0.025256461,0.168649991,0.009316012,0.024263655,-0.194941034,-0.027366667,0.016676899,-0.195915446,0.028282412,0.016964245,-0.074724081,-0.048010058,-0.044417988,0.043772211,-0.114859646,0.007312404,0.061750597,-0.110805991,0.003408848,0.140830837,-0.093549043,-0.011785962,0.166351935,-0.087262615,-0.032947681,-0.204436586,-0.020080746,0.039374506,-0.202486083,0.022713917,0.040242063,-0.07807865,0.04465589,-0.051000944,0.041005125,0.117592336,0.005812806,0.059881701,0.114612615,0.002434764,0.140472531,0.096560826,-0.014425131,0.165391199,0.089866865,-0.034814492,0.165972799,0.001311386,0.018717393,0.105227173,0.000748509,0.014389859,0.030170268,0.00091622,0.00709065,-0.011206657,-0.001998299,-0.005871005,-0.071302245,-0.003598332,-0.05977946
10,0.127849837,-0.003413447,-0.103819546,0.046527017,-0.004277424,-0.099137482,-0.077623198,-0.001753316,-0.068872992,-0.078292209,0.006042991,-0.068976532,-0.078273932,-0.008987488,-0.069213211,-0.100258083,0.038774858,-0.051035917,-0.099969365,-0.043210496,-0.049194864,-0.08678473,0.046267523,-0.05186147,-0.0856395,-0.050811706,-0.049033598,-0.055437466,0.097377559,-0.002969147,-0.054926699,-0.097842137,-0.002394112,0.017240888,0.062100099,-0.084213927,0.01412941,-0.059861909,-0.084569362,-0.148480453,-0.007292309,0.047484919,-0.15019534,0.006899938,0.047873483,-0.114140023,-0.022932813,0.043581867,-0.112005897,0.022388749,0.04281654,-0.120041225,-0.056756009,0.001047187,-0.119205811,0.056627976,-3.81E-05,-0.077198519,-0.069296021,0.014532879,-0.07691473,0.070446006,0.012887391,-0.073991229,-0.034226081,0.036847341,-0.073507847,0.033391073,0.037086873,-0.046796211,-0.010933113,0.030895828,-0.046713016,0.009055822,0.030534876,-0.023997622,-0.005708472,0.029246466,-0.024114748,0.013965394,0.034169988,0.004766912,-0.009487293,0.036654301,0.004833203,0.007687435,0.036595347,0.00780179,-0.033706706,0.034664901,0.010367381,0.028695497,0.034378081,0.008836782,-0.010858273,0.012331223,0.019915566,0.032019518,0.030021102,0.057179452,-0.005221063,0.021250429,0.056249178,0.007026695,0.020583622,0.055693525,-0.032499084,0.027908398,0.056870512,0.032667321,0.026961365,0.054049602,-0.099712541,-0.007723846,0.053064009,0.098699774,-0.011033215,0.089234221,-0.021414409,0.035405681,0.093189633,0.021976578,0.034711689,0.099672062,-0.070246515,0.018632866,0.099824835,0.070686714,0.016739121,0.10821,-0.013609456,0.024593827,0.10818649,0.015055874,0.024806456,0.165161155,-0.037460201,0.015447127,0.165801107,0.041305388,0.013191684,0.166667123,-0.010611654,0.02043427,0.16517832,0.008527071,0.020992699,-0.196309071,-0.027893167,0.012786665,-0.196480793,0.026523375,0.014285249,-0.075942401,-0.04830685,-0.045414988,0.043311455,-0.11687967,0.005932694,0.062369612,-0.114718324,0.003746399,0.13746133,-0.09289752,-0.011263292,0.163084876,-0.088636416,-0.034058085,-0.205783532,-0.020880659,0.036265598,-0.202455579,0.020399333,0.038101269,-0.077819558,0.044814389,-0.051684339,0.039517527,0.11859762,0.004825516,0.059597713,0.115490135,0.002411555,0.138883087,0.095164738,-0.014255758,0.164907624,0.090624597,-0.036414296,0.162109447,0.00060177,0.015064305,0.10134661,0.000109103,0.01181114,0.03133799,-0.000501085,0.006149176,-0.010915618,-0.002705225,-0.007640922,-0.070212876,-0.004462063,-0.061870416
